ONLY RECORD IMAGES WITH SOMETHING IN IT ,,,,,,,,,,,,,,
Camera Start Date,Camera End Date,Folder Name,CameraName,Location Code,Image#,Species,SpeciesCode,# of Individuals,Date,Time,Image Quality,Time,Notes,HAILEY TO CHECK
1/1/2020,10/20/2020,,BonitaCanyon1,#N/A,IMG_0001,bobcat,LYRU,1,20201020,,1,13:22:00,,
3/5/2021,,,BonitaCanyon1,#N/A,IMG_0004,human,HOSA,1,20210305,,2,,person with umbrella,
5/31/2023,6/30/2023,2023_05_31_ABF1,ABF1,ABF1,IMG_0001,human,HOSA,1,20230531,10:02 AM,,,,
5/31/2023,6/30/2023,2023_05_31_ABF1,ABF1,ABF1,IMG_0002,human,HOSA,1,20230531,10:02,,,,
5/31/2023,6/30/2023,2023_05_31_ABF1,ABF1,ABF1,IMG_0003,human,HOSA,1,20230531,10:02,,,,
5/31/2023,6/30/2023,2023_05_31_ABF1,ABF1,ABF1,IMG_0004,human,HOSA,1,20230531,10:04,,,,
5/31/2023,6/30/2023,2023_05_31_ABF1,ABF1,ABF1,IMG_0005,human,HOSA,2,20230531,10:04,,,,
5/31/2023,6/30/2023,2023_05_31_ABF1,ABF1,ABF1,IMG_0006,human,HOSA,2,20230531,10:04,,,,
5/31/2023,6/30/2023,2023_05_31_ABF1,ABF1,ABF1,IMG_0007,bird,BIRD,1,20230614,7:37,,,"ONLY CAUGHT FRACTION OF BIRD , UNABLE TO IDENTIFY",
5/31/2023,6/30/2023,2023_05_31_ABF1,ABF1,ABF1,IMG_0010,human,HOSA,1,20230630,7:10,,,,
8/6/2023,10/1/2023,2023_10_02_ABF1,ABF1,ABF1,IMG_0007,unknown,UNK,1,20230810,6:01,3,,,maybe a bird? 
8/6/2023,10/1/2023,2023_10_02_ABF1,ABF1,ABF1,IMG_0040,bird,BIRD,1,20230914,4:28,3,,raptor from afar,
10/2/2023,11/18/2023,2023_11_20_ABF1,ABF1,ABF1,IMG_0007,human,HOSA,3,20231101,14:28,1,,"Alondra, Julie, Janet",
10/2/2023,11/18/2023,2023_11_20_ABF1,ABF1,ABF1,IMG_0008,human,HOSA,3,20231101,14:28,1,,"Alondra, Julie, Janet",
10/2/2023,11/18/2023,2023_11_20_ABF1,ABF1,ABF1,IMG_0009,human,HOSA,3,20231101,14:28,1,,"Alondra, Julie, Janet",
