Site,TreeID,TagNumber,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
1,1_1,13,1,10:53:24,3887.000017,0,3.273492894,0.034168689,236.5526471,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.19386864,0.875096934,0.00325148,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.547949858,1.562419854,21.81463051,1.486,5.341401858,1,10.68280372,18.55042076,21.81463051,17.00386429,400.1567383,398.4273071,10.45540047,10.72387981,48.25719833,49.49637222,300.0310974,1501.916138,134.7219543,98.96014404,4.705765247,0.401571333,0.022079175,0.005701795,0.013884015,0.005217161,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.0190518,0.00054795,294.9646305,291.7004208,240.3065767,0.604093409,2.623656545,26.51225471,15.7883749,20.18252563,2.373268556,0.034059749,1.061236691,1.312031865,0.021297104,23.40928403,0.59371595,39.5124708,398.0136315,0.003249733,0,1314.322208,0,#DIV/0!,#DIV/0!
1,1_1,13,2,10:53:25,3888.000017,0,2.884525104,0.033591433,252.3367249,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.19386864,0.875096934,0.002955184,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.538184074,1.560895985,21.80432129,1.486,5.341401858,1,10.68280372,18.54944229,21.80432129,17.00417709,399.9987793,398.4638977,10.45875168,10.7224493,48.27626038,49.49345779,300.0278625,1502.094238,134.7414398,98.96144867,4.705765247,0.401571333,0.022079175,0.005701795,0.013884015,0.005217161,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.019030031,0.000538184,294.9543213,291.6994423,240.3350728,0.605977555,2.622005101,26.49521744,15.77276814,20.17688179,2.372440389,0.033486138,1.061109116,1.311331273,0.020938271,24.97160785,0.633273745,39.5307174,398.0993765,0.002864294,0,1314.478063,0,#DIV/0!,#DIV/0!
1,1_1,13,3,10:53:26,3889.000017,0,2.591600731,0.033295674,265.0607624,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.19386864,0.875096934,0.002732098,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.533527335,1.561108364,21.80501938,1.486,5.341401858,1,10.68280372,18.54912567,21.80501938,17.00461006,399.848053,398.4591064,10.45989418,10.72132301,48.28298569,49.48974228,300.0133972,1502.226929,134.7297821,98.96246338,4.705765247,0.401571333,0.022079175,0.005701795,0.013884015,0.005217161,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.018932687,0.000533527,294.9550194,291.6991257,240.3563032,0.606698032,2.6221169,26.49607549,15.77475247,20.17707253,2.372468373,0.033192222,1.061008536,1.311459837,0.020754408,26.231066,0.665214468,39.52340756,398.1316024,0.00257274,0,1314.59418,0,#DIV/0!,#DIV/0!
1,1_1,13,4,10:53:27,3890.000017,0,2.511428714,0.033477377,269.5184065,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.19386864,0.875096934,0.002671578,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.536704282,1.561923382,21.81069946,1.486,5.341401858,1,10.68280372,18.54857445,21.81069946,17.00529289,399.8103638,398.4605103,10.45913315,10.72211647,48.28187943,49.49587631,300.015686,1501.965088,134.732666,98.96398163,4.705765247,0.401571333,0.022079175,0.005701795,0.013884015,0.005217161,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.018948089,0.000536704,294.9606995,291.6985744,240.3144087,0.605858329,2.62302672,26.50486244,15.78274597,20.17963696,2.372844645,0.033372795,1.061103337,1.311741308,0.020867368,26.67261463,0.676399291,39.5135523,398.1431377,0.002492457,0,1314.365044,0,#DIV/0!,#DIV/0!
1,1_1,13,5,10:53:28,3891.000017,0,2.477001602,0.033353705,270.6887895,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.19386864,0.875096934,0.00264527,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.534430391,1.561081812,21.8041935,1.486,5.341401858,1,10.68280372,18.54772568,21.8041935,17.00574112,399.762207,398.4299316,10.45811939,10.71997547,48.28028107,49.48915482,300.0312805,1502.030396,134.6068878,98.96504211,4.705765247,0.401571333,0.022079175,0.005701795,0.013884015,0.005217161,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.019053032,0.00053443,294.9541935,291.6977257,240.3248579,0.606440343,2.621984636,26.4940486,15.77407313,20.17595959,2.372305091,0.033249893,1.060902824,1.311402267,0.020790485,26.78872745,0.67938869,39.52181702,398.1169097,0.002458966,0,1314.422194,0,#DIV/0!,#DIV/0!
1,1_2,14,6,11:04:04,4527.500015,0,6.027515153,0.076714836,264.7423973,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.03429317,0.875017147,0.005352101,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.058307905,1.348804713,20.7175312,0.757,6.329299071,1,12.65859814,18.46873093,20.7175312,17.00780869,400.0917358,398.4646912,10.89308262,11.15709972,50.53620911,51.76106262,300.0565796,1500.58606,1439.564331,98.96199799,5.042844296,0.411096632,0.037311208,0.003305104,0.049425121,0.001784098,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.963759308,0.001058308,293.8675312,291.6187309,240.0937642,0.480208649,2.452933593,24.78662156,13.62952184,19.59313107,2.288137457,0.076252722,1.10412888,1.184008577,0.047699255,26.19943659,0.664406165,44.34357049,397.8218755,0.006718624,0,1313.038532,0,#DIV/0!,#DIV/0!
1,1_2,14,7,11:04:05,4528.500015,0,6.388024102,0.076646467,257.1447038,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.03429317,0.875017147,0.005626246,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.055893392,1.346925487,20.70554352,0.757,6.329299071,1,12.65859814,18.46828461,20.70554352,17.00777245,400.1669922,398.4491882,10.89443111,11.15785408,50.54361343,51.76573563,300.0469971,1500.697144,1399.782959,98.96147919,5.042844296,0.411096632,0.037311208,0.003305104,0.049425121,0.001784098,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.963632722,0.001055893,293.8555435,291.6182846,240.1115376,0.480922,2.451123232,24.76845791,13.61060383,19.58691406,2.287253941,0.076185174,1.104197744,1.183056197,0.047656964,25.44742025,0.645363854,44.38025866,397.7679254,0.007127326,0,1313.135732,0,#DIV/0!,#DIV/0!
1,1_2,14,8,11:04:05,4529.000015,0,6.634523161,0.076560774,251.885832,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.03429317,0.875017147,0.005813969,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.053947755,1.345948939,20.6991272,0.757,6.329299071,1,12.65859814,18.46824074,20.6991272,17.00741005,400.2339783,398.4542236,10.89498043,11.1579113,50.54640961,51.76625443,300.0546265,1500.695801,1398.905396,98.96169281,5.042844296,0.411096632,0.037311208,0.003305104,0.049425121,0.001784098,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.963733507,0.001053948,293.8491272,291.6182407,240.1113228,0.481363903,2.45015473,24.75861781,13.60070651,19.58368397,2.286795021,0.076100509,1.104205791,1.182589231,0.047603957,24.92704833,0.632157515,44.39851736,397.7466724,0.007405794,0,1313.134557,0,#DIV/0!,#DIV/0!
1,1_2,14,9,11:04:06,4530.000015,0,6.861114687,0.076827162,247.7083683,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.03429317,0.875017147,0.005986936,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.054955076,1.342618798,20.67788696,0.757,6.329299071,1,12.65859814,18.46819687,20.67788696,17.00731468,400.3127136,398.475647,10.89595699,11.1591444,50.55127716,51.77232361,300.0482788,1500.593018,1405.843262,98.96208954,5.042844296,0.411096632,0.037311208,0.003305104,0.049425121,0.001784098,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.963649654,0.001054955,293.827887,291.6181969,240.0948774,0.481852365,2.446951046,24.72614571,13.56700131,19.57304192,2.285283609,0.076363698,1.104332247,1.180951361,0.047768735,24.51373772,0.621639918,44.46551482,397.7439305,0.007670337,0,1313.04462,0,#DIV/0!,#DIV/0!
1,1_2,14,10,11:04:07,4531.000015,0,6.969473847,0.076739152,245.3174176,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.03429317,0.875017147,0.006069269,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.053289287,1.342052889,20.6747551,0.757,6.329299071,1,12.65859814,18.46788788,20.6747551,17.00748253,400.3545532,398.4902039,10.89711475,11.15990162,50.55849075,51.77772141,300.0308838,1500.640503,1402.162354,98.96378326,5.042844296,0.411096632,0.037311208,0.003305104,0.049425121,0.001784098,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,3.963419865,0.001053289,293.8247551,291.6178879,240.1024751,0.482170861,2.446478974,24.72095239,13.56105077,19.57132149,2.285039351,0.076276746,1.104426085,1.180613266,0.047714296,24.27753974,0.615617185,44.47795273,397.7469312,0.007793597,0,1313.086171,0,#DIV/0!,#DIV/0!
